Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
42,Scrypt,PoW/PoS,41.99995383,42,-0.33473339086573034,0.9106789825719188,-0.5844234342629894,42 Coin,0
404,Scrypt,PoW/PoS,1055184902.04,532000000,-0.3180713826267023,0.9111958510319934,-0.5849164102585309,404Coin,0
1337,X13,PoW/PoS,29279424622.5027,314159265359,2.3119148069873194,1.6935031949568267,-0.7468509972668977,EliteCoin,0
BTC,SHA-256,PoW,17927175.0,21000000,-0.14322870342572896,-1.2563014495387335,0.17635144646553852,Bitcoin,2
ETH,Ethash,PoW,107684222.6865,0,-0.14581201321547302,-2.010384677037737,0.3876880821810688,Ethereum,2
LTC,Scrypt,PoW,63039243.30000489,84000000,-0.1661038772463007,-1.1601861754749097,0.00545172607503587,Litecoin,2
DASH,X11,PoW/PoS,9031294.37563393,22000000,-0.3981810703936411,1.1209694654064566,-0.5032720836167248,Dash,0
XMR,CryptoNight-V7,PoW,17201143.1449131,0,-0.1485439513076834,-2.127471054930056,0.43593431242157293,Monero,2
ETC,Ethash,PoW,113359703.0,210000000,-0.14425339025208248,-2.010443493508865,0.38765787996111173,Ethereum Classic,2
ZEC,Equihash,PoW,7383056.25,21000000,-0.15184746669334484,-2.0513437401705534,0.3222463962564814,ZCash,2
BTS,SHA-512,PoS,2741570000.0,3600570502,-0.2690470451784149,1.9503095187733834,-0.08611489630759697,Bitshares,0
DGB,Multiple,PoW,11406219141.0,21000000000,0.15591155750251653,-1.7699168029480805,0.38359085520697744,DigiByte,2
BTCD,SHA-256,PoW/PoS,1288862.0,22000000,-0.31068861812658805,0.8145681177661095,-0.4135535860144227,BitcoinDark,0
XPY,SHA-256,PoS,11995334.8847328,12500000,-0.26598201997831095,0.7773635789271526,-0.11639445910161988,PayCoin,0
PRC,Scrypt,PoW,5768310.0,21000000,-0.16725023291344754,-1.1602040810893035,0.005483021580369107,ProsperCoin,2
KOBO,X15,PoW/PoS,25542535.5881841,350000000,-0.23665340859005365,1.8997182924650067,-0.6957929029031196,KoboCoin,0
SPR,X11,PoW,11149733.9976203,20000000,-0.2309056083907838,-0.9499090938127044,0.08663889178449773,Spreadcoin,2
ARG,Scrypt,PoW,12205795.444954902,64000000,-0.16686664754234357,-1.1602127494777912,0.0054747264567111,Argentum,2
AUR,Scrypt,PoW/PoS,18135099.992959,16768584,-0.33439294979499223,0.9106855982774382,-0.5844329210582291,Aurora Coin,0
BLU,Scrypt,PoW/PoS,635423900.0,0,-0.32697166443324555,0.9110855034904807,-0.5846776898337398,BlueCoin,0
XMY,Multiple,PoW,1688254250.0,2000000000,-0.09753965216710046,-1.7704839948047364,0.39000647087193235,MyriadCoin,2
MOON,Scrypt,PoW,88.0,384000000000,2.5558158718887913,-1.2743911230116152,-0.045586180129671465,MoonCoin,2
ZET,SHA-256,PoW,170204389.754849,169795588,-0.1403133895835895,-1.2562482753118924,0.1762707242565261,ZetaCoin,2
SXC,Scrypt,PoW,128940951.183046,250000000,-0.16412163173897124,-1.1601933771873956,0.005403277473603299,SexCoin,2
QTL,Scrypt,PoW,7357794.7925,100000000,-0.16667055804073008,-1.160226556325666,0.0054718780974691295,Quatloo,2
ENRG,Scrypt,PoW/PoS,123062801.128773,0,-0.3332301748536963,0.9107577136293832,-0.5844726760231214,EnergyCoin,0
QRK,Quark,PoW,259557164.91477,247000000,-0.22531338126354153,-0.3816895136602516,0.047968395993009866,QuarkCoin,2
RIC,Groestl,PoW,49548585.14129171,84000000,-0.20156860674997307,-1.0759067977459944,0.13906049814031113,Riecoin,2
DGC,Scrypt,PoW,33442988.3440364,48166000,-0.16671952739403384,-1.1601944541631457,0.005468334721103036,Digitalcoin ,2
BTB,Scrypt,PoW/PoS,42579.476901,500000,-0.3347293256220268,0.910678861113953,-0.5844235177811509,BitBar,0
CAT,Scrypt,PoW,7219956.64626131,21000000 ,-0.16723250099413806,-1.1602031523789593,0.005482440725164999,Catcoin,2
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000,-0.3347136069376693,0.9106793499775592,-0.5844239830339453,CryptoBullion,0
CCN,Scrypt,PoW,4703879.51824446,13140000,-0.1673189772224422,-1.16020242475463,0.005484492923817824,CannaCoin,2
CRYPT,X11,PoW,4996986.20575291,18000000,-0.23099494821901523,-0.9499124353778591,0.08664161972865937,CryptCoin,2
CSC,Scrypt,PoC,39999997299.8568,40000000000,0.6810100648324793,0.42027559280206633,-0.043999244877562384,CasinoCoin,0
DMD,Groestl,PoW/PoS,3304487.74735637,4380000,-0.3699619053554761,0.9949678027304383,-0.4508219650739292,Diamond,0
XVG,Multiple,PoW,15929530669.1206,16555000000,0.17964053286905612,-1.765701149888763,0.38237212981983804,Verge,2
DVC,SHA-256,PoW,18773857500.0,21000000000,0.2346564486577889,-1.250540591233952,0.16605620206436966,DevCoin,2
EAC,Scrypt,PoW,12539015186.821999,13500000000,0.08143543303831761,-1.1561940021372996,-0.0013247619434158763,EarthCoin,2
EFL,Scrypt,PoW,20910478.806249898,21000000 ,-0.16706527074229344,-1.1601943936844232,0.005476962662674396,E-Gulden,2
EMC2,Scrypt,PoW,218871896.499999,299792458,-0.16266999920166575,-1.160150649383658,0.005360670223760122,Einsteinium,2
EMD,Scrypt,PoW,19496786.31025,32000000,-0.1670045282678387,-1.160198569169239,0.005476065265110862,Emerald,2
EXCL,PoS,PoS,5679705.0,0,-0.36023534279490466,1.9389190690604974,-0.1462622472470126,Exclusive Coin,0
FLT,Scrypt,PoS/PoW/PoT,461829905.32892996,0,-0.30408492091299055,0.03874860471547273,-0.22241020424799376,FlutterCoin,0
